year,country,arrivals
2014,India,15600
2014,Argentina,1300
2014,Austria,1400
2014,Belgium,1800
2014,Brazil,3400
2014,Cambodia,400
2014,Canada,11500
2014,Chile,1400
2014,China,63600
2014,Colombia,900
2014,Denmark,2000
2014,Fij,2500
2014,Finland,1200
2014,France,10000
2014,Germany,15200
2014,Hong Kong,17500
2014,Indonesia,12400
2014,Iran,600
2014,Ireland,5100
2014,Italy,6300
2014,Japan,27500
2014,Malaysia,26500
2014,Mexico,700
2014,Netherlands,4000
2014,New Zealand,102200
2014,Norway,1700
2014,Papua New Guinea,4300
2014,Philippines,6700
2014,Poland,1100
2014,Russia,1700
2014,Saudi Arabia,1200
2014,Singapore,31200
2014,South Africa,4500
2014,South Korea,16300
2014,Spain,2300
2014,Sweden,3600
2014,Switzerland,4100
2014,Taiwan,9700
2014,Thailand,6600
2014,United Arab Emirates,3000
2014,United Kingdom,56900
2014,United States of America,45900
2014,Vietnam,3900
2015,India,19000
2015,Argentina,800
2015,Austria,1400
2015,Belgium,1800
2015,Brazil,4100
2015,Cambodia,500
2015,Canada,12100
2015,Chile,1400
2015,China,77700
2015,Colombia,900
2015,Denmark,2100
2015,Fij,2700
2015,Finland,1200
2015,France,10500
2015,Germany,15600
2015,Hong Kong,17000
2015,Indonesia,12900
2015,Iran,700
2015,Ireland,4800
2015,Italy,6100
2015,Japan,27100
2015,Malaysia,27600
2015,Mexico,800
2015,Netherlands,3700
2015,New Zealand,106400
2015,Norway,1800
2015,Papua New Guinea,4800
2015,Philippines,7500
2015,Poland,1100
2015,Russia,1400
2015,Saudi Arabia,1400
2015,Singapore,30600
2015,South Africa,4600
2015,South Korea,18000
2015,Spain,2800
2015,Sweden,3500
2015,Switzerland,4500
2015,Taiwan,10000
2015,Thailand,6600
2015,United Arab Emirates,3200
2015,United Kingdom,54700
2015,United States of America,49000
2015,Vietnam,4400
2016,India,20300
2016,Argentina,1300
2016,Austria,1500
2016,Belgium,1700
2016,Brazil,3500
2016,Cambodia,600
2016,Canada,11700
2016,Chile,1700
2016,China,101900
2016,Colombia,1100
2016,Denmark,2300
2016,Fij,2700
2016,Finland,1200
2016,France,10500
2016,Germany,15800
2016,Hong Kong,19600
2016,Indonesia,13100
2016,Iran,900
2016,Ireland,4600
2016,Italy,6000
2016,Japan,32400
2016,Malaysia,30600
2016,Mexico,700
2016,Netherlands,3900
2016,New Zealand,110400
2016,Norway,1800
2016,Papua New Guinea,4300
2016,Philippines,8500
2016,Poland,1400
2016,Russia,1100
2016,Saudi Arabia,1200
2016,Singapore,34700
2016,South Africa,4700
2016,South Korea,22200
2016,Spain,3000
2016,Sweden,3600
2016,Switzerland,4400
2016,Taiwan,12500
2016,Thailand,7100
2016,United Arab Emirates,3200
2016,United Kingdom,58100
2016,United States of America,55900
2016,Vietnam,5300
2017,India,23000
2017,Argentina,1700
2017,Austria,1500
2017,Belgium,1800
2017,Brazil,4400
2017,Cambodia,900
2017,Canada,13500
2017,Chile,1900
2017,China,108000
2017,Colombia,1200
2017,Denmark,2400
2017,Fij,3200
