industries,Year,Value
Accommodation,2016,6327
Ownership of dwellings(b),2016,4910
Cafes restaurants and takeaway food services,2016,4561
Clubs pubs taverns and bars,2016,2204
Rail passenger transport,2016,273
Taxi transport,2016,649
Other road passenger transport,2016,674
Transportation,2016,6735
transport equipment rental,2016,548
Travel agency and information centre services,2016,3211
Cultural services,2016,731
Casinos and other gambling services,2016,316
Sports and recreation services,2016,1081
Automotive fuel retailing,2016,329
Other retail trade,2016,5563
Education and training,2016,3191
Accommodation,2017,6480
Ownership of dwellings(b),2017,4853
Cafes restaurants and takeaway food services,2017,5160
Clubs pubs taverns and bars,2017,2101
Rail passenger transport,2017,323
Taxi transport,2017,705
Other road passenger transport,2017,706
Transportation,2017,7078
transport equipment rental,2017,607
Travel agency and information centre services,2017,4070
Cultural services,2017,847
Casinos and other gambling services,2017,330
Sports and recreation services,2017,1209
Automotive fuel retailing,2017,360
Other retail trade,2017,5749
Education and training,2017,4046
Accommodation,2018,6729
Ownership of dwellings(b),2018,5542
Cafes restaurants and takeaway food services,2018,5930
Clubs pubs taverns and bars,2018,2302
Rail passenger transport,2018,348
Taxi transport,2018,775
Other road passenger transport,2018,732
Transportation,2018,7889
transport equipment rental,2018,663
Travel agency and information centre services,2018,4472
Cultural services,2018,906
Casinos and other gambling services,2018,375
Sports and recreation services,2018,1318
Automotive fuel retailing,2018,439
Other retail trade,2018,6156
Education and training,2018,4863
Accommodation,2019,5607
Ownership of dwellings(b),2019,4908
Cafes restaurants and takeaway food services,2019,4444
Clubs pubs taverns and bars,2019,1606
Rail passenger transport,2019,305
Taxi transport,2019,688
Other road passenger transport,2019,626
Transportation,2019,5851
transport equipment rental,2019,547
Travel agency and information centre services,2019,3317
Cultural services,2019,767
Casinos and other gambling services,2019,262
Sports and recreation services,2019,1056
Automotive fuel retailing,2019,361
Other retail trade,2019,5204
Education and training,2019,4263
Accommodation,2020,4599
Ownership of dwellings(b),2020,3879
Cafes restaurants and takeaway food services,2020,4005
Clubs pubs taverns and bars,2020,1627
Rail passenger transport,2020,232
Taxi transport,2020,226
Other road passenger transport,2020,494
Transportation,2020,1218
transport equipment rental,2020,360
Travel agency and information centre services,2020,1625
Cultural services,2020,576
Casinos and other gambling services,2020,159
Sports and recreation services,2020,804
Automotive fuel retailing,2020,320
Other retail trade,2020,4319
Education and training,2020,245
