industries,Year,Value
Accommodation,2016,12591
Ownership of dwellings(b),2016,9770
Cafes restaurants and takeaway food services,2016,11272
Clubs pubs taverns and bars,2016,4910
Rail passenger transport,2016,689
Taxi transport,2016,1379
Other road passenger transport,2016,1108
Transportation,2016,19165
transport equipment rental,2016,1095
Travel agency and information centre services,2016,6374
Cultural services,2016,1517
Casinos and other gambling services,2016,792
Sports and recreation services,2016,2912
Automotive fuel retailing,2016,590
Other retail trade,2016,9284
Education and training,2016,4665
Accommodation,2017,13629
Ownership of dwellings(b),2017,10208
Cafes restaurants and takeaway food services,2017,12498
Clubs pubs taverns and bars,2017,5332
Rail passenger transport,2017,761
Taxi transport,2017,1589
Other road passenger transport,2017,1144
Transportation,2017,20635
transport equipment rental,2017,1181
Travel agency and information centre services,2017,7031
Cultural services,2017,1763
Casinos and other gambling services,2017,772
Sports and recreation services,2017,3208
Automotive fuel retailing,2017,663
Other retail trade,2017,9726
Education and training,2017,5964
Accommodation,2018,14595
Ownership of dwellings(b),2018,12020
Cafes restaurants and takeaway food services,2018,14086
Clubs pubs taverns and bars,2018,5819
Rail passenger transport,2018,789
Taxi transport,2018,1739
Other road passenger transport,2018,1212
Transportation,2018,23757
transport equipment rental,2018,1272
Travel agency and information centre services,2018,7322
Cultural services,2018,1925
Casinos and other gambling services,2018,811
Sports and recreation services,2018,3597
Automotive fuel retailing,2018,849
Other retail trade,2018,10618
Education and training,2018,7164
Accommodation,2019,11526
Ownership of dwellings(b),2019,10089
Cafes restaurants and takeaway food services,2019,11571
Clubs pubs taverns and bars,2019,4356
Rail passenger transport,2019,667
Taxi transport,2019,1543
Other road passenger transport,2019,1076
Transportation,2019,17874
transport equipment rental,2019,1108
Travel agency and information centre services,2019,5492
Cultural services,2019,1582
Casinos and other gambling services,2019,594
Sports and recreation services,2019,2993
Automotive fuel retailing,2019,687
Other retail trade,2019,8977
Education and training,2019,6238
Accommodation,2020,9282
Ownership of dwellings(b),2020,7829
Cafes restaurants and takeaway food services,2020,10553
Clubs pubs taverns and bars,2020,4035
Rail passenger transport,2020,543
Taxi transport,2020,513
Other road passenger transport,2020,796
Transportation,2020,6499
transport equipment rental,2020,719
Travel agency and information centre services,2020,3144
Cultural services,2020,1121
Casinos and other gambling services,2020,371
Sports and recreation services,2020,2359
Automotive fuel retailing,2020,581
Other retail trade,2020,7434
Education and training,2020,351
